"SessionID","Gender","ListID"
1,"F",1
2,"F",2
3,"M",3
4,"F",4
5,"F",1
6,"F",2
7,"F",3
8,"F",4
9,"F",1
10,"F",2
11,"F",3
12,"F",4
13,"F",1
14,"F",2
15,"F",3
16,"F",4
17,"M",1
18,"F",2
19,"M",3
20,"M",4
21,"F",1
22,"F",2
23,"F",3
24,"F",4
25,"F",1
26,"M",2
27,"F",3
28,"F",4
29,"M",1
30,"M",2
31,"F",3
32,"F",4
33,"F",1
34,"M",2
35,"M",3
36,"M",4
37,"M",1
38,"F",2
39,"F",3
40,"F",4
41,"F",1
42,"F",2
43,"F",3
44,"F",4
45,"M",1
46,"M",2
47,"F",3
48,"M",4
50,"F",2
51,"M",3
52,"F",4
53,"F",1
54,"M",2
55,"F",3
56,"F",4
58,"M",2
49,"F",1
57,"F",1
59,"M",3
63,"M",3
67,"M",3
62,"F",2
65,"F",1
68,"F",4
72,"F",4
60,"F",4
66,"M",2
64,"M",4
61,"M",1
69,"F",1
70,"M",2
71,"M",3
73,"M",1
74,"F",2
75,"F",3
77,"F",1
78,"F",2
79,"M",3
80,"F",4
81,"F",1
82,"M",2
83,"M",3
76,"F",4
84,"M",4
85,"M",1
86,"M",2
87,"M",3
88,"F",4
89,"F",1
90,"F",2
91,"M",3
92,"F",4
